This is test output
file open
slytherin. : 3
flopped : 3
depressed : 1
scabbers' : 1
whiskers : 2
lighter, : 1
romania : 4
studying : 9
africa : 1
gringotts, : 1
vault. : 1
must've : 7
prickle : 1
you- : 1
know-who : 1
mentioned : 4
entering : 1
voldemort" : 1
team? : 2
any, : 1
confessed : 1
what!" : 1
dumbfounded : 1
explaining : 2
positions : 1
players : 7
describing : 1
broomstick : 25
points : 40
neville : 90
recognized : 4
interest : 4
shown : 3
thickset : 1
extremely : 4
bodyguards : 1
crabbe : 20
goyle, : 1
carelessly : 1
malfoy : 100
draco : 10
malfoy. : 2
cough : 1
snigget : 1
children : 2
afford. : 1
coolly : 3
tinge : 1
cheeks : 1
politer : 1
riffraff : 1
rub : 1
bravely : 2
goyle : 21
eaten : 4
some. : 1
yell : 5
goyle's : 2
knuckle : 1
scabbets : 1
lurking : 6
among : 4
footsteps : 9
on? : 2
picking : 2
out, : 4
sleep- : 1
before? : 2
family, : 1
bewitched : 5
doesn't : 10
malfoy's : 13
side. : 2
something? : 4
conductor : 1
there! : 5
scowling : 2
change? : 1
childishly : 1
corridors, : 1
sniffy : 1
dirt : 1
glared : 4
mountains : 3
forests : 1
slowing : 1
jackets : 2
sneakers : 1
echoed : 3
train: : 1
luggage : 1
separately. : 1
lurched : 1
nerves : 4
joined : 10
thronging : 1
slowed : 2
familiar : 1
voice: : 1
firs' : 6
beamed : 3
c'mon, : 1
stumbling : 1
steep : 3
path : 12
trees : 15
losing : 6
ye' : 1
sec, : 1
bend : 3
oooooh!" : 1
atop : 1
mountain : 6
starry : 1
castle : 22
turrets : 1
towers : 2
fleet : 3
boats : 7
shore : 1
forward! : 1
gliding : 4
smooth : 3
sailed : 2
cliff : 3
down! : 2
curtain : 1
ivy : 1
opening : 1
tunnel : 1
rocks : 1
pebbles : 1
toad? : 2
trevor!" : 1
blissfully : 1
shadow : 3
flight : 2
fist : 3
sorting : 8
magnificent : 2
staircase : 13
upper : 1
flagged : 1
drone : 1
voices : 4
-the : 2
start-of-term : 4
banquet : 4
begin : 3
sorted : 3
ceremony : 2
classes : 6
dormitory : 9
produced : 1
outstanding : 2
triumphs : 1
rulebreaking : 1
awarded : 3
honor : 1
credit : 1
whichever : 2
becomes : 1
smarten : 1
waiting. : 2
lingered : 1
fastened : 1
smudged : 1
flatten : 2
return : 6
quietly. : 1
houses? : 1
test : 3
hurts : 1
joking. : 2
jolt : 2
anxiously : 5
teacher's : 3
lead : 8
doom : 1
ghosts : 6
streamed : 2
pearly-white : 2
transparent : 1
glided : 3
arguing : 2
monk : 1
saying: : 1
forgive : 4
forget : 19
friar : 4
peeves : 26
chances : 1
deserves : 1
ghost : 13
ruff : 3
tights : 1
answered : 4
students! : 1
suppose? : 2
mutely : 1
hufflepuff! : 1
ceremony's : 1
start. : 1
returned : 3
floated : 2
form : 2
line, : 1
sandy : 1
double : 3
imagined : 2
splendid : 2
candles : 3
midair : 7
tables : 6
glittering : 5
goblets : 1
lanterns : 1
candlelight : 1
dotted : 2
mainly : 2
avoid : 1
upward : 3
velvety : 1
history. : 1
heavens : 2
placed : 1
four-legged : 1
patched : 1
frayed : 1
rabbit : 3
rip : 2
brim : 1
sing: : 1
pretty : 5
judge : 1
smarter : 1
bowlers : 1
sleek : 2
cap : 1
dwell : 2
daring : 3
chivalry : 1
gryffindors : 16
loyal : 1
patient : 1
hufflepuffis : 1
unafraid : 1
toil : 1
wit : 1
learning : 4
cunning : 1
means : 5
achieve : 1
flap : 1
cap! : 1
applause : 2
song : 2
hat! : 1
wrestling : 3
troll. : 2
weakly : 1
alot : 1
quick-witted : 1
queasy : 1
sorted, : 1
abbott, : 1
hannah! : 1
pink-faced : 1
pigtails : 1
hufflepuff!" : 3
hannah : 2
bones, : 1
susan! : 1
susan : 1
boot, : 1
terry! : 1
ravenclaw!" : 1
ravenclaws : 2
terry : 1
brocklehurst : 1
mandy : 1
brown, : 1
lavender : 2
cheers : 6
catcalling : 1
bulstrode, : 1
millicent : 1
unpleasant : 4
definitely : 3
teams : 5
gym : 1
chosen : 4
finch-fletchley, : 1
justin! : 1
finnigan, : 1
seamus, : 2
sandy-haired : 2
declared : 1
granger, : 1
hermione! : 2
jammed : 2
gryffindor!" : 2
thoughts : 1
ages : 13
longbottom : 5
jog : 2
amid : 1
gales : 1
laughter : 6
macdougal, : 1
morag. : 1
swaggered : 1
barely : 5
slytherin!" : 1
moon" : 1
nott" : 1
parkinson" : 1
girls : 3
patil" : 2
perks, : 1
sally-anne : 1
whispers : 2
fires : 2
hmm, : 1
difficult. : 1
plenty : 1
talent : 1
thirst : 1
prove : 1
interesting... : 1
edges : 1
greatness : 1
doubt : 4
gryffindor! : 2
shakily : 2
loudest : 2
earlier : 2
bucket : 2
ice-cold : 1
properly : 7
eye : 11
thumbs : 1
center : 1
quirtell : 1
turban : 14
thomas, : 1
dean, : 2
taller : 2
turpin, : 1
lisa, : 1
excellent, : 1
pompously : 1
zabini, : 1
blaise, : 1
scroll : 1
plate : 4
are: : 1
nitwit : 1
blubber : 1
oddment : 1
tweak : 1
mad? : 2
uncertainly : 2
mad?" : 1
airily : 1
genius : 2
potatoes : 4
dishes : 1
table: : 1
roast : 5
beef : 1
chicken : 3
pork : 1
chops : 2
lamb : 1
steak : 3
boiled : 2
fries : 1
pudding : 2
peas : 4
carrots : 1
gravy : 2
ketchup : 2
starved : 1
peppermints : 1
delicious : 4
good, : 3
troduced : 1
nicholas : 3
de : 2
mimsy-porpington : 1
service : 1
resident : 1
tower. : 1
are! : 1
headless : 5
nick! : 1
prefer : 1
mimsy : 1
seamus : 16
finnigan : 6
interrupted : 3
headless? : 1
miffed : 1
chat : 3
hinge : 1
behead : 1
nick : 3
coughed : 2
win : 8
championship : 4
winning : 5
slytherins : 12
bloody : 9
baron's : 3
unbearable : 1
ghost. : 1
blank : 2
gaunt : 1
stained : 1
seating : 1
arrangements : 1
covered : 8
blood? : 1
asked, : 1
delicately : 1
remains : 1
desserts : 2
blocks : 1
apple : 1
pies : 1
treacle : 3
tarts : 1
eclairs : 1
doughnuts : 1
trifle : 2
strawberries : 1
jell-o : 1
rice : 1
tart : 2
half-and-half, : 1
dad's : 1
'til : 2
neville? : 2
gran : 4
witch, : 1
all- : 1
algie : 3
blackpool : 1
pier : 1
ankles : 3
enid : 1
offered : 4
meringue : 1
accidentally : 2
bounced : 1
toad. : 1
lessons : 10
"i : 2
difficult-" : 1
matches : 2
needles : 2
). : 1
warm : 5
sleepy : 3
deeply : 4
goblet : 2
absurd : 1
teacher : 10
greasy : 2
hooked : 1
sallow : 1
hook-nosed : 2
quirrell's : 22
ouch!" : 1
n-nothing." : 1
snape : 136
teaches : 1
awful : 1
snape. : 3
ahern : 1
fed : 2
watered : 1
notices : 1
pupils : 1
well. : 2
filch : 47
caretaker : 2
remind : 1
corridors : 9
trials : 1
contact : 5
hooch : 11
third-floor : 4
right-hand : 1
bounds : 1
death. : 1
serious? : 1
be, : 2
frowning : 3
forest's : 1
least. : 2
sing : 1
song! : 1
teachers' : 1
smiles : 3
fly : 8
ribbon : 1
snakelike : 2
pick : 3
tune, : 1
go! : 1
bellowed: : 1
hoggy : 1
scabby : 1
filling : 1
bare : 2
flies : 1
fluff : 1
forgot : 1
brains : 2
rot : 1
singing : 3
funeral : 1
march : 1
conducted : 1
lines : 5
music, : 1
beyond : 1
bedtime : 1
trot! : 1
crowds : 2
portraits : 2
doorways : 1
panels : 1
tapestries : 1
staircases : 2
yawning : 3
dragging : 1
farther : 1
ahead : 16
peeves," : 2
poltergeist. : 1
baron? : 1
cross- : 1
legged : 1
oooooooh!" : 1
cackle : 1
firsties : 2
fun! : 1
baron'll : 1
dropping : 3
zooming : 2
coats : 3
armor : 7
peeves, : 2
portrait : 14
dress : 1
password?" : 1
caput : 1
draconis, : 1
reveal : 2
cozy : 2
armchairs : 4
directed : 1
spiral : 4
last: : 1
four-posters : 1
velvet : 1
curtains : 4
pajamas : 2
hangings : 2
chewing : 1
sheets. : 1
transfer : 1
destiny : 1
heavier : 2
struggled : 4
-then : 1
sweating : 1
master : 1
look. : 2
where?" : 1
hair. : 1
glasses? : 1
face? : 1
scar? : 1
lining : 1
classrooms : 2
doubled : 1
pass : 4
forty-two : 1
hogwarts: : 1
sweeping : 3
rickety : 1
politely : 1
tickled : 1
poltergeist : 1
wastepaper : 2
baskets : 1
rugs : 1
pelt : 1
chalk : 3
sneak : 1
invisible : 8
conk! : 1
argus : 1
unluckily : 1
out-of-bounds : 2
break : 12
threatening : 4
dungeons : 7
rescued : 1
norris : 11
dust-colored : 1
creature : 2
bulging : 2
filch's : 5
patrolled : 1
toe : 1
whisk : 1
appear : 1
wheezing : 3
passageways : 2
dearest : 1
ambition : 2
skies : 1
wednesday : 3
names : 5
movements : 4
greenhouses : 1
herbology : 5
dumpy : 1
sprout : 3
plants : 1
taught : 4
binns : 3
fallen : 6
staff : 2
droned : 1
dates : 2
uric : 1
oddball : 1
flitwick : 20
charms : 7
desk : 5
squeak : 2
toppled : 4
talking-to : 1
complex : 1
messing : 2
warned. : 1
changing : 2
furniture : 1
complicated : 2
needle : 1
lesson : 7
pointy : 1
rare : 4
defense : 3
classroom : 12
garlic : 2
ward : 1
vampire : 1
african : 1
prince : 1
thank-you : 1
rid : 6
troublesome : 1
zombie : 2
believed : 5
fought : 3
insisted : 2
stuffed : 3
protected : 1
wherever : 6
today? : 1
poured : 1
sugar : 2
slytherins, : 1
snape's : 25
favors : 2
true. : 1
homework : 7
circling : 2
owners : 1
laps : 1
owlery : 4
untidy : 2
scrawl: : 1
afternoons : 1
sent : 17
disliked : 1
dislike : 1
pickled : 1
paused : 2
celebrity. : 1
calling : 2
tunnels : 1
subtle : 1
science : 1
exact : 1
art : 1
potionmaking, : 1
y : 1
gift : 2
effort : 3
wand-waving : 1
beauty : 1
simmering : 1
shimmering : 1
fumes : 1
delicate : 1
liquids : 1
creep : 2
veins : 1
bewitching : 2
ensnaring : 1
senses... : 1
fame : 2
brew : 1
stopper : 1
dunderheads : 1
teach. : 1
speech : 2
exchanged : 1
proving : 1
dunderhead : 1
potter!" : 2
powdered : 3
root : 2
asphodel : 2
infusion : 2
wormwood? : 1
hermione's : 11
curled : 3
tut, : 1
tut : 4
everything. : 1
bezoar? : 1
faintest : 2
bezoar : 2
sit. : 1
ignoring : 1
monkshood : 2
wolfsbane? : 1
stretching : 3
dungeon : 3
her? : 2
seamus's : 2
down, : 1
information : 1
wormwood : 1
draught : 1
goat : 1
save : 10
poisons : 1
wolfsbane : 1
plant : 10
aconite : 1
copying : 3
continued : 1
pairs : 4
cure : 1
boils : 3
weigh : 1
nettles : 1
crush : 1
criticizing : 1
whom : 1
stewed : 1
horned : 1
slugs : 1
clouds : 3
acid : 1
melt : 1
blob : 1
seeping : 1
holes : 1
drenched : 1
sprang : 7
idiot : 3
clearing : 10
spilled : 1
porcupine : 1
fire? : 1
whimpered : 1
hospital : 5
wing, : 1
spat : 2
add : 3
gryffindor. : 4
unfair : 1
doi* : 1
push : 2
nasty. : 1
spirits : 2
crossbow : 5
galoshes : 1
frantic : 1
scrabbling : 1
booming : 1
barks : 1
fang : 13
on, : 3
fang. : 1
struggling : 4
collar : 1
boarhound : 2
hams : 1
pheasants : 1
boiling : 2
massive : 2
patchwork : 1
quilt : 1
yerselves : 1
home, : 1
letting : 2
bounded : 2
pouring : 1
chasin' : 1
forest. : 1
shapeless : 1
lumps : 1
raisins : 1
enjoying : 2
-lessons : 1
rested : 1
drooled : 1
delighted : 5
fitch : 2
git. : 1
sometime : 1
puts : 2
rubbish!" : 1
charlie? : 1
animals. : 1
cutting : 1
prophet: : 1
break-in : 3
investigations : 1
continue : 2
widely : 1
searched : 2
emptied : 4
spokesgoblin : 1
date : 2
might've : 1
thieves : 1
weighed : 1
refuse : 3
collected : 1
duel : 3
groan : 1
thursday : 2
typical," : 1
reasonably : 1
anyway, : 3
malfay : 3
boastful : 1
stories : 2
narrowly : 1
helicopters : 1
though: : 1
childhood : 1
glider : 1
broom : 29
constantly : 1
argument : 1
dean : 6
thomas : 2
exciting : 2
prodding : 1
dean's : 2
poster : 1
west : 2
ham : 2
team : 22
grandmother : 2
accidents : 2
tips : 1
lecture : 1
arrival : 1
gloatingly : 1
remembrall! : 1
tells : 1
turns : 3
oh... : 1
remembrall : 7
something... : 2
quicker : 4
professor. : 2
looking, : 1
three-thirty : 1
breezy : 1
rippled : 1
sloping : 1
lawns : 1
lawn : 1
swaying : 1
vibrate : 1
hawk : 2
for? : 2
twigs : 2
angles : 2
broom, : 2
'up!"' : 1
upf : 1
granger's : 2
horses : 1
quaver : 1
mount : 2
rows : 3
correcting : 1
grips : 1
hard, : 1
steady : 2
jumpy : 1
hooch's : 1
rising : 3
cork : 1
falling : 2
slip : 2
wham : 2
thud : 2
facedown : 2
drift : 1
lazily : 1
bending : 1
wrist, : 1
get." : 1
'quidditch.' : 1
tear-streaked : 1
hobbled : 1
sooner : 3
earshot : 2
lump? : 1
malfoy, : 5
parvati : 3
patil : 4
ooh, : 1
sticking : 4
longbottom? : 1
pansy : 1
parkinson : 1
hard-faced : 1
crybabies : 1
parvati. : 1
look!" : 2
darting : 2
snatching : 1
longbottom's : 1
glittered : 2
nastily : 2
tree? : 1
hovering : 1
topmost : 1
branches : 8
no!" : 2
trouble. : 3
pounding : 2
mounted : 2
soared : 2
-and : 2
rush : 2
joy : 2
screams : 2
gasps : 2
whoop : 1
broom! : 1
yeah? : 1
grasped : 1
javelin : 1
about-face : 1
then! : 2
streaked : 4
motion : 1
handle : 5
dive : 4
mingled : 1
dived : 6
speechless : 2
fault : 2
triumphant : 1
numbly : 1
defend : 1
lasted : 2
packing : 2
trotting : 1
assistant : 1
borrow : 2
moment? : 2
cane : 1
burly : 1
fifth-year : 1
flitwicles : 1
two, : 2
blackboard : 1
peeves! : 1
bin : 12
clanged : 1
cursing : 3
oliver : 4
seeker. : 2
wood's : 6
expression : 2
puzzlement : 1
delight : 3
serious : 3
professor? : 1
absolutely," : 1
crisply : 1
natural : 2
clue : 2
fifty-foot : 1
dive, : 1
scratch : 1
dreams : 3
team, : 2
build : 1
seeker : 10
too, : 3
speedy : 1
decent : 1
cleansweep : 1
say. : 1
severus : 3
weeks.... : 1
sternly : 1
punishing : 1
proud, : 1
player : 4
himself. : 1
dinnertime : 1
kidney : 1
pie : 3
seeker?" : 1
shoveling : 1
gaped : 1
week, : 1
secret. : 1
done, : 2
beaters. : 1
year, : 2
year's : 1
skipping : 1
jordan : 7
gregory : 1
smarmy : 1
up: : 1
flanked : 1
meal : 2
muggles? : 1
scowl : 1
anytime : 1
own, : 1
tonight, : 4
has, : 1
wheeling : 2
yours? : 1
sizing : 1
crabbe," : 1
trophy : 6
unlocked. : 1
duel? : 1
second? : 1
second's : 1
die, : 1
catching : 1
duels : 1
malfoy'll : 1
damage : 2
anyway. : 1
happens? : 1
throw : 5
punch : 1
nose, : 1
peace : 1
place? : 2
overhearing : 1
could, : 1
selfish : 1
good-bye," : 1
wing) : 1
advice : 2
dodge : 1
block : 2
malfoys : 2
sneering : 1
looming : 1
face-to-face : 1
half-past : 1
eleven, : 1
bathrobes : 2
tower : 11
embers : 1
hunched : 2
bathrobe : 4
frown : 1
you!" : 2
bed! : 2
brother, : 1
this. : 5
interfering : 2
goose : 1
switching : 1
spells. : 1
away. : 3
painting : 1
shrilly : 1
problem, : 1
re : 1
late. : 2
not. : 2
d'you : 5
finds : 4
something. : 4
snuffling : 1
norris? : 1
breathed : 2
squinting : 5
password : 1
password's : 1
'pig : 1
snout' : 1
lady's : 1
somewhere. : 3
fine," : 1
mended : 1
minute. : 2
scrambling : 2
bogies : 2
beckoned : 1
flitted : 2
striped : 1
moonlight : 6
tiptoed : 1
cases : 1
glimmered : 1
shields : 1
statues : 1
edged : 2
chickened : 1
corner. : 1
speaking : 5
horror-struck : 1
madly : 2
scurried : 1
hiding. : 1
way! : 1
petrified : 4
gallery : 2
suits : 1
-he : 1
tripped : 2
suit : 4
clanging : 1
crashing : 2
run!" : 1
sprinted : 5
doorpost : 1
galloped : 1
tapestry : 1
spluttering : 1
-you, : 1
stitch : 1
tower, : 1
possible. : 1
tricked : 1
off. : 3
paces : 2
doorknob : 2
cackled : 2
naughty : 2
caughty. : 1
please. : 2
should, : 1
saintly : 1
wickedly : 1
way, : 3
swipe : 1
bellowed : 4
ducking : 2
helplessly : 1
end! : 1
peeves's : 1
shouts : 1
over, : 1
'alohomora! : 1
peeves? : 1
quick, : 2
'please."' : 1
shan't : 1
annoying : 1
singsong : 1
-please. : 1
nothing! : 1
ha : 3
haaa : 1
haaaaaa! : 1
whooshing : 1
locked, : 1
okay : 2
neville! : 2
tugging : 1
nightmare : 3
monstrous : 2
space : 3
rolling : 2
drooling : 1
mouths : 2
saliva : 1
slippery : 1
ropes : 5
mistaking : 3
thunderous : 1
growls : 3
groped : 1
backward : 6
cared : 3
monster : 1
seventh : 2
been? : 2
flushed : 4
snout : 4
snout, : 2
school? : 2
temper : 3
floor? : 1
heads. : 1
trapdoor : 10
guarding : 12
mind, : 2
dragged : 6
littie : 1
cheerful : 2
three-headed : 6
meantime : 1
protection : 2
valuable : 1
dangerous, : 1
both, : 2
object : 1
guessing : 1
further : 1
clues : 2
slightest : 1
refusing : 1
know-it-all : 1
bonus : 1
attention : 7
said: : 1
contains : 1
session : 2
glee : 2
thousand! : 1
enviously : 1
barred : 1
broomstick, : 2
jealousy : 1
spite : 1
resist : 1
comet : 1
sixty? : 1
comets : 1
flashy : 1
league : 1
nimbus. : 1
handle, : 1
twig : 2
twig. : 1
boys? : 1
professor, : 2
circumstances : 1
model : 1
headed : 3
smothering : 1
obvious : 3
confusion : 3
stolen : 3
wouln't : 1
team.... : 1
reward : 1
rules? : 1
stomping : 1
disapprovingly : 1
us? : 3
good. : 3
straying : 1
bolted : 3
bedspread : 1
dusk : 1
stadium : 1
stands : 9
spectators : 1
poles : 1
hoops : 6
bubbles : 2
fifty : 12
goal : 6
posts : 6
lightest : 1
down!' : 1
fie : 1
crate : 12
nice, : 1
meant.. : 1
rules : 7
joining : 1
week. : 1
different-sized : 1
chasers. : 1
chasers, : 1
ball's : 1
quaffle, : 1
chasers : 6
quaffle : 18
score : 3
score, : 1
recited : 1
basketball : 1
basketball? : 1
scoring. : 1
keeper, : 1
club : 7
baseball : 1
bludgers : 12
bludgers. : 1
identical : 1
jet : 3
straining : 2
straps : 1
freed : 1
pelted : 1
zigzagging : 2
zoomed : 1
forcing : 1
bludger : 9
strapping : 1
rocket : 1
beaters : 3
protect : 4
guards : 1
reeled : 1
anyone? : 1
offhand : 1
jaws : 3
member : 1
open. : 1
themselves. : 1
fourth : 3
compared : 3
fluttering : 4
wings : 5
this," : 1
snitch : 15
seeker's : 1
weave : 1
team's : 1
catches : 1
wins : 2
seekers : 3
fouled : 1
months : 4
substitutes : 1
questions? : 1
understood : 2
yet, : 1
shutting : 2
these. : 1
golf : 2
cup'll : 1
trudged : 1
england : 2
dragons. : 1
evenings : 1
mastered : 1
basics : 1
baking : 1
wafting : 1
announced : 2
objects : 1
dying : 3
zoom : 1
eye) : 1
angrier : 1
spoken : 1
movement : 3
practicing! : 1
baruffio : 1
's' : 1
'f' : 1
buffalo : 1
chest. : 1
swished : 1
sending : 2
skyward : 3
desktop : 1
impatient : 1
wingardium : 3
leviosa! : 3
windmill : 1
wrong, : 1
wing-gar-dium : 1
levi-o-sa : 1
'gar' : 1
long. : 1
clever, : 1
sleeves : 2
gown : 1
hovered : 2
done! : 2
her, : 3
honestly : 2
glimpse : 1
startled : 2
uncomfortable : 1
friends. : 1
feast : 6
overheard : 1
girls' : 4
awkward : 1
decorations : 2
bats : 1
pumpkins : 1
stutter : 2
helping : 2
potato : 1
sprinting : 2
askew : 2
terror : 2
slumped : 3
troll : 29
uproar : 1
firecrackers : 1
exploding : 1
prefects," : 1
rumbled : 1
dormitories : 2
immediately! : 1
element : 1
prefect! : 1
joke. : 1
groups : 2
directions : 2
hufflepuffs : 3
hermione. : 2
lip : 3
percy'd : 1
deserted : 1
percy!" : 1
griffin : 1
view : 6
doing? : 3
teachers? : 2
fading : 2
heading : 1
floor, : 1
foul : 3
stench : 1
grunting : 1
footfalls : 1
emerged : 1
patch : 2
granite : 1
boulder : 1
tree : 13
horny : 1
waggled : 1
slouched : 1
lock, : 1
idea, : 1
praying : 1
slam : 1
'yes! : 1
victory : 2
hearts : 4
chained : 1
baron : 4
bathroom! : 1
hermione!" : 2
choice : 3
fumbling : 1
shrinking : 1
advancing : 1
sinks : 1
confuse : 1
desperately : 4
seizing : 1
lumbered : 1
hesitated : 2
lifting : 1
pea-brain! : 1
ugly : 1
run! : 1
shouting : 3
echoes : 1
driving : 2
berserk : 1
stupid: : 1
fasten : 1
troll's : 6
flailed : 1
clinging : 1
fright : 1
head: : 1
sickening : 2
owner's : 1
swayed : 2
tremble : 1
dead? : 1
glue : 1
urgh : 1
boogers. : 1
racket : 2
crashes : 1
roars : 1
bursting : 4
rear : 2
whimper : 1
hopes : 1
of? : 1
fury : 2
dormitory? : 1
swift : 1
granger! : 1
lie : 4
fetch : 1
arrived. : 1
case... : 1
tackling : 1
own? : 1
disappointed : 1
hurt : 14
finishing : 1
houses. : 1
full-grown : 1
points, : 1
grumbled : 1
five, : 1
hermione's. : 1
admitted : 2
her. : 1
saving : 1
noisy : 2
embarrassed : 2
ending : 1
twelve-foot : 1
november : 1
chilled : 1
steel : 1
frost : 1
defrosting : 1
bundled : 1
moleskin : 2
fur : 1
beaverskin : 1
season : 1
begun : 1
training: : 1
versus : 1
weapon : 1
leaked : 1
mattress : 1
hermlone : 1
last-minute : 2
committing : 1
1473 : 1
rarely : 1
referees : 1
sahara : 1
desert : 1
relaxed : 1
saved : 5
conjured : 1
jar : 2
yard : 1
limping : 1
unfortunately : 4
guilty : 2
limped : 2
school, : 1
leg? : 1
dunno, : 2
hurting : 2
"how : 1
learn?") : 1
answers : 1
restless : 1
staffroom : 2
ajar : 4
scene : 1
mangled : 1
bandages : 1
blasted : 1
thing*, : 1
once? : 1
matter? : 3
means? : 1
breathlessly : 2
id : 1
diversion! : 1
saints : 1
something, : 4
guarding? : 1
buzzing : 1
snoring : 1
dawned : 1
fried : 1
ful : 1
breakfast. : 1
anything. : 4
toast, : 1
wheedled : 1
hungry. : 1
hour's : 1
strength, : 1
clobbered : 1
team. : 1
pitch : 1
binoculars : 7
fan : 1
painted : 1
banner : 3
president : 2
drawing : 4
performed : 2
paint : 1
colors : 2
locker : 5
green) : 1
men, : 1
women, : 2
chaser : 5
angelina : 4
johnson : 4
for, : 1
oliver's : 1
heart, : 1
gryffindor's : 1
refereeing : 2
marcus : 5
flint : 14
flashing : 1
skipped : 1
blast : 2
fifteen : 3
immediately : 3
attractive : 1
jordan!" : 2
commentary : 1
belting : 1
alicia : 1
spinnet : 2
reserve : 2
gains : 1
sc- : 1
katie : 1
ouch : 1
adrian : 2
pucey : 3
blocked : 4
beater : 1
possession : 4
dodges : 1
bletchley : 1
dives : 1
misses : 1
score! : 1
moans : 1
along. : 1
watchin' : 1
hut, : 1
bein' : 1
nope," : 1
yet. : 2
somethin', : 1
raising : 3
speck : 1
snitch, : 1
attacked : 1
be. : 2
scored : 2
loop-the-loops : 1
feelings : 2
reflection : 8
weasleys' : 1
wristwatches : 1
cannonball : 1
possession, : 1
ducks : 1
speeds : 1
snitch? : 1
murmur : 1
streak : 1
terence : 1
higgs : 2
-all : 1
spurt : 1
spun : 1
foul!" : 1
yelling : 2
ref : 1
card! : 2
dean? : 1
game! : 1
oughta : 1
coulda : 1
air. : 1
disgusting : 2
cheating : 1
'jordan : 1
kills : 1
penalty : 3
spinner : 1
possession. : 1
spinning : 1
dangerously : 1
frightening : 3
lurch : 1
buck : 2
riders : 1
goal- : 1
time-out : 1
direct : 2
violent : 1
unseated : 1
commentating : 1
passes : 2
no.. : 1
cheering : 6
carrying- : 1
jerking : 1
doing, : 1
broom.. : 1
have.... : 1
managing : 1
have, : 1
interfere : 2
thousand. : 1
gray-faced : 1
nonstop : 1
jinxing : 1
vibrating : 1
circled : 1
hermione, : 4
headfirst : 1
crouched : 1
well- : 1
flames : 5
hem : 1
yelp : 1
scooping : 1
clamber : 2
look! : 3
sobbing : 3
clap : 2
fours : 1
snitch! : 1
ended : 1
seventy : 1
sixty : 2
snape, : 2
rubbish," : 2
guarding. : 1
fluffy? : 2
fluffy?" : 1
mine : 3
greek : 1
chappie : 1
yes?" : 1
anymore, : 1
is. : 2
sort. : 1
afternoon's : 1
jinx : 1
him! : 6
tellin' : 1
wrong! : 1
hotly : 1
student : 2
meddlin' : 1
concern : 2
aha!" : 1
erised : 6
christmas : 21
mid-december : 1
snow : 3
froze : 1
snowballs : 1
battle : 3
stormy : 1
nursed : 1
health : 1
drafty : 1
bitter : 1
mist : 1
home. : 1
spine : 1
lionfish : 1
disgusted : 1
wide-mouthed : 1
replacing : 1
bucking : 1
jealous : 1
taunting : 1
signed : 2
fir : 1
blocking : 1
hi, : 1
help? : 2
nah, : 1
drawl : 1
palace : 1
to. : 2
weasley!" : 1
provoked : 1
insultin' : 1
family. : 3
silkily : 1
roughly : 4
smirking : 1
grinding : 1
christmas, : 2
treat. : 1
spectacular : 2
festoons : 1
mistletoe : 1
towering : 5
icicles : 1
holidays? : 1
-harry : 1
library. : 1
blossoming : 1
trailing : 2
library? : 2
yeh? : 4
working, : 1
dog's : 7
guardin'. : 1
all, : 1
trouble? : 1
hint : 1
nothin : 1
flatly : 2
searching : 1
flamel's : 3
notable : 1
discoveries : 2
recent : 4
developments : 2
sheer : 1
tens : 1
titles : 2
random : 1
wandered : 2
restricted : 6
section : 5
specially : 1
containing : 1
advanced : 1
boy? : 1
pince : 3
librarian : 1
brandished : 1
duster : 1
hearing : 1
hopeful : 1
surprising : 1
it'd : 1
dentists, : 1
emptier : 1
spear : 1
toasting : 1
bread : 1
english : 1
muffins : 1
marshmallows : 1
plotting : 1
teaching : 1
chess : 10
figures : 1
directing : 1
troops : 1
belonged : 3
grandfather : 2
chessmen : 7
drawback : 1
knight : 6
eve : 1
merry : 3
presents! : 1
turnips? : 1
scrawled : 1
flute : 6
whittled : 1
contained : 2
message : 1
enclose : 1
fifty-pence : 1
friendly, : 1
fascinated : 1
pence : 1
'nmat : 1
money? : 1
one's : 1
from, : 1
sweater. : 1
torn : 3
hand-knitted : 1
homemade : 1
sweater, : 1
unwrapping : 2
mine's : 1
maroon. : 1
tasty : 1
fluid : 1
gleaming : 3
folds : 1
valuable. : 1
cloth : 1
woven : 1
material : 2
invisibility : 14
cloak, : 4
awe : 1
suspended : 1
note! : 1
loopy : 1
words: : 2
signature : 1
flung : 2
sharing : 2
christmas! : 1
too! : 1
sweaters : 1
f : 1
g : 1
ron? : 1
lovely : 1
warm. : 1
maroon, : 1
halfheartedly : 1
observed : 1
gred : 1
forge. : 1
th : 1
disapproving : 1
thickly : 1
either, : 1
frog-marched : 1
turkeys : 1
platters : 1
chipolatas : 1
tureens : 1
buttered : 1
rich : 1
cranberry : 1
sauce : 1
stacks : 1
crackers : 2
party : 2
feeble : 2
flimsy : 1
cracker : 1
bang : 1
cannon : 1
engulfed : 1
cloud : 2
admiral's : 1
flowered : 1
bonnet : 1
chuckling : 2
puddings : 1
turkey : 3
embedded : 1
slice : 1
redder : 2
wine : 3
kissing : 1
giggled : 1
lopsided : 1
including : 1
nonexplodable : 1
luminous : 2
balloons : 1
grow-your-own-warts : 1
kit : 1
norris's : 1
snowball : 1
spectacularly : 1
suspected : 4
badly : 4
crumpets : 1
chase : 1
nagging : 2
it: : 3
whoever : 1
bother : 2
four-poster : 1
father's.. : 1
flow : 1
smoother : 1
wide-awake : 1
squawked : 1
pitch-black : 1
